,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Duration,,,,,,2hr 9min,1hr 53min,1hr 28min,1hr 50min,1hr 20min,1hr 12min,1hr 18min,2hr 1min,,1hr 25min,1hr 34min,1hr 25min,,1hr 40min,,,1hr 28min,1hr 36min,1hr 51min,,,,,,,1hr 32min,1hr 43min,1hr 34min,1hr 33min
Episodes,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,08,,,,,
Format,Mkv,Mkv,Mkv,Mkv,Mkv,Mkv,Mkv,Mkv,Mkv,Mkv,Mkv,Mkv,Mkv,Mkv,Mkv,Mkv,Mkv,Mkv,Mkv,Mkv,Mkv,Mkv,Mkv,Mkv,Mkv,Mkv,Mkv,Mkv,Mkv,Mkv,Mkv,Mkv,Mkv,Mkv
Full Name,[18+] Pilya (Crippled 2024),Girl Friday (2020),Purpose of Reunion 2 (2017),Purpose Of Reunion (2015),100% Wolf (2020),The Old Well (1987),The Ice Storm (1997),One Night in Istanbul (2024),The Crow (2024),Oki’s Movie (2010),Ocean Waves (1993),KillJoy (2024),Builder Boys (2024),Vic the Viking and the Magic Sword (2019),Genius (1999),Full-Court Miracle (2003),Beginner (2017),Up and Away (2018),"Angus, Thongs and Perfect Snogging (2008)",The Gospel of Matthew (2014),Matthew Bourne’s Swan Lake (2019),An American Pickle (2020),964 Pinocchio (1991),50 km/h (2024),[18+] Pilya (Crippled 2024),Banshee,The American Society of Magical Negroes (2024),El Mariachi (1992),,Dinner for Schmucks (2010),My First Wedding (2006),Muri & Ko (2024),Killer Babes (2024),Here After (2024)
Language,[In Tagalog + ESubs],[In English ],(Korean),(Korean),Multi Audio [Hindi-Eng-Tam-Tel],Chinese,English,English,English,Korean,Japanese,English,Gujarati,Multi Audio [Hindi-Eng-Tam-Tel],English,English,Turkish,Dual Audio [HINDI & ENGLISH],English,English,English,English,Japanese,Italian,[In Tagalog + ESubs],English,Dual Audio [HINDI & ENGLISH],Dual Audio [HINDI & SPANISH],English,(French),English,English,Spanish,English
Quality,"480p, 720p & 1080p",480p & 720p & 1080p,720p,720p,"480p, 720p & 1080p – BluRay",720p & 1080p – BluRay,720p & 1080p – BluRay,720p & 1080p – BluRay,720p & 1080p – BluRay,720p & 1080p – BluRay,720p & 1080p – BluRay,720p & 1080p – BluRay,720p & 1080p – BluRay,"480p, 720p & 1080p – BluRay",720p & 1080p – BluRay,720p & 1080p – BluRay,720p & 1080p – BluRay,720p & 1080p,720p & 1080p – BluRay,720p & 1080p,720p & 1080p,720p & 1080p – BluRay,720p & 1080p – BluRay,720p & 1080p – BluRay,"480p, 720p & 1080p",720p x264  – Bluray,"480p, 720p & 1080p – BluRay","480p, 720p & 1080p – BluRay","720p 10Bit x265,720p x264 – WeB-HD",720p & 1080p,720p & 1080p – BluRay,720p & 1080p – BluRay,720p & 1080p – BluRay,720p & 1080p – BluRay
Release Year,,,,,,,,,,,,,,,,,,,,,,,,,,2013,,,2024,,,,,
Season,,,,,,,,,,,,,,,,,,,,,,,,,,1-4,,,1,,,,,
Size,,,,,,1.2GB & 2.2GB,1.0GB & 1.9GB,813MB & 1.6GB,1GB & 1.8GB,734MB & 1.5GB,624MB & 1.2GB,717MB & 1.4GB,1.1GB & 2.2GB,,784MB & 1.4GB,868MB & 1.6GB,781MB & 1.6GB,,921MB & 1.9GB,,,809MB & 1.6GB,887MB & 1.6GB,1.0GB & 2.1GB,,350MB (Each Episode),,,,,848MB & 1.5GB,949MB & 1.7GB,869MB & 1.7GB,853MB & 1.7GB
Subtitles,Yes (English),,,,Yes (English),Yes (English),Yes (English),Yes (English),Yes (English),Yes (English),Yes (English),Yes (English),Yes (English),Yes (English),Yes (English),Yes (English),Yes (English),Yes (English),Yes (English),,,Yes (English),Yes (English),Yes (English),Yes (English),Yes (English),Yes (English),Yes (English),English,,Yes (English),Yes (English),Yes (English),Yes (English)
adult,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
genre," 480p, 720p, & 1080p", Erotic | Romance. ,"Drama, Romance, Erotic.","Drama, Romance."," 480p, 720p, & 1080p","Drama, Romance. ","Action, Drama.","Comedy, Sport.","Action, Crime, Fantasy, Horror, Romance, Thriller.","Action, Comedy, Drama.","Action, Animation, Drama, Romance.",Documentary.,Comedy.," 480p, 720p, & 1080p","Comedy, Family, Romance, Sci-Fi.","Drama, Family, Sport.",Drama.," 720p, & 1080p","Comedy, Drama, Romance.",Drama.,Drama / Musical / Romance.,Comedy.,"Horror, Sci-Fi.",Comedy.," 480p, 720p, & 1080p","Action, Crime, Drama, Mystery, Thriller."," 480p, 720p, & 1080p"," 480p, 720p, & 1080p","Drama, Crime.",Action / Comedy.,"Comedy, Romance.",Comedy.,"Comedy, Crime, Thriller.","Drama, Horror, Thriller."
